episode/count,episode/length,episode/return,eval/max_return,eval/mean_length,eval/mean_return,eval/min_return,eval/std_return,eval/step,loss/entropy,loss/policy,loss/value,step,time/elapsed_sec,time/fps
2400,72.85714285714286,264.6049485726997,,,,,,,,,,98000,93.30109429359436,1050.362814519832
2415,64.73333333333333,280.01889076967586,,,,,,,6.762115967273712,-0.07569399495841936,384.65259170532227,99000,94.20115995407104,1050.9424729830153
2430,67.13333333333334,263.78773571137816,,,,,,,,,,100000,94.88136506080627,1053.9477371126918
2444,72.14285714285714,277.23499599392255,365.31330987397394,62.8,337.6629468557829,325.8431611895944,10.856076093647435,100000.0,6.755252945423126,-0.08008543103933334,390.67863845825195,101000,96.28633975982666,1048.954610300183
2460,64.0625,265.14036887459923,,,,,,,,,,102000,97.23075532913208,1049.0507829001608
2475,65.53333333333333,262.9945303417639,,,,,,,6.748503398895264,-0.0796645150752738,369.5816589355469,103000,98.3845374584198,1046.9124789404111
2489,70.64285714285714,296.29147951660195,,,,,,,,,,104000,99.33227944374084,1046.9909739552772
2504,66.6,280.67806202908,,,,,,,6.743232774734497,-0.08230356811545789,248.29916343688964,105000,100.49823212623596,1044.7944981570358
2518,70.28571428571429,287.68454678532305,,,,,,,,,,106000,101.43313074111938,1045.0234477188358
2533,67.0,224.54790636706866,,,,,,,6.741663539409638,-0.07754182200878859,280.9502326965332,107000,102.58138012886047,1043.074287610373
2548,68.13333333333334,264.07790520193964,,,,,,,,,,108000,103.5638518333435,1042.8349089776539
2563,68.66666666666667,261.3575719357368,,,,,,,6.73701331615448,-0.07932872043456882,286.0533374786377,109000,104.70993757247925,1040.9709195419127
2577,70.92857142857143,278.4624307906692,,,,,,,,,,110000,105.74045491218567,1040.2830221541203
2591,72.0,278.29500737690614,,,,,,,6.731321883201599,-0.08066085550235584,267.2431041717529,111000,106.8978521823883,1038.3744643495047
2605,69.57142857142857,295.19260447728044,,,,,,,,,,112000,107.82380318641663,1038.7316778871466
2618,74.23076923076923,309.0137147504893,,,,,,,6.730364334583283,-0.07221507257781923,344.2196407318115,113000,108.97982811927795,1036.8891376514375
2633,66.8,245.82516245473482,,,,,,,,,,114000,109.89868259429932,1037.3190770706603
2648,68.53333333333333,281.18586571658005,,,,,,,6.7327308177948,-0.07646131746005266,385.1758834838867,115000,111.04795432090759,1035.588640090314
2663,67.86666666666666,282.2171455398856,,,,,,,,,,116000,111.97571897506714,1035.9388719426656
