episode/count,episode/length,episode/return,eval/max_return,eval/mean_length,eval/mean_return,eval/min_return,eval/std_return,eval/step,info/alpha,info/log_prob,loss/actor,loss/alpha,loss/critic,step,time/elapsed_sec,time/fps
1911,13.012987012987013,5.244919019978583,,,,,,,0.12282516676187515,2.0,1.39191494512558,-31.45379126739502,0.0025219103880226613,30000,56.160428047180176,534.1839626791503
1988,13.077922077922079,5.28713845727041,,,,,,,0.11979567649960518,2.0,1.3749071626663207,-31.828406440734863,0.002134840637911111,31000,59.41954565048218,521.7138512358928
2064,13.013157894736842,5.25751604927477,,,,,,,0.11684090867638589,2.0,1.3498199701309204,-32.20302165222168,0.001954259835649282,32000,62.690616607666016,510.443216729933
2142,12.935897435897436,5.283466145649908,,,,,,,0.11395901969075203,2.0,1.3203858470916747,-32.57763684082031,0.001865887191146612,33000,64.75735378265381,509.5946340049418
2220,12.833333333333334,5.286999384321033,,,,,,,0.11114821296930313,2.0,1.288199695110321,-32.95225202941894,0.0017198203513398766,34000,68.0844976902008,499.3794645398921
2298,12.807692307692308,5.359553093501743,,,,,,,0.10840673634409904,2.0,1.2468285760879516,-33.326867218017576,0.0016080963267013431,35000,71.41901350021362,490.06557616334635
2376,12.807692307692308,5.3554968785799275,,,,,,,0.10573287481069565,2.0,1.2051436185836792,-33.701482421875,0.0015470130394678564,36000,74.6531355381012,482.23024713578775
2454,12.820512820512821,5.3622093405154585,,,,,,,0.10312496683001518,2.0,1.1639223222732544,-34.07609761047363,0.0012328687163535505,37000,77.61398839950562,476.7181891175133
2531,12.935064935064934,5.401409707965289,,,,,,,0.10058138382434845,2.0,1.1311901183128357,-34.450712799072264,0.0011178570557385684,38000,80.54871249198914,471.76421353450235
2608,12.974025974025974,5.250985628256443,,,,,,,0.09810053628683091,2.0,1.096698703289032,-34.825327987670896,0.0009901890330947937,39000,83.75428295135498,465.6478286925511
2685,12.96103896103896,5.288799570788939,,,,,,,0.09568088012933731,2.0,1.066523197889328,-35.19994317626953,0.0009789847782813012,40000,86.82213354110718,460.7120139596826
